Enterprise,Snowflake Data,"Enterprise Type (private, public, or government)",Enterprise (normalized),BMC Global Parent ID,EDGAR API Account ID,Industry,Sector,2024 Revenue,,Copilot 2024 Revenue,Reporting currency,"Revenue (reporting currency, millions)",FX rate used (USD per 1 unit),"Revenue (USD, FY2024 avg FX, millions)",Number of Employees,Number of Employees,Revenue Reporting Operating Unit 1 ,Revenue Reporting Operating Unit 1 .1,Revenue Reporting Operating Unit 2,Revenue Reporting Operating Unit 3,Revenue Reporting Operating Unit 4,Revenue Reporting Operating Unit 5,Revenue Reporting Operating Unit 6,Revenue Reporting Operating Unit 7,Revenue Reporting Operating Unit 8,Revenue Reporting Operating Unit 9 ,Revenue Reporting Operating Unit 10,2024 FY Revenue Operating Unit 1 ,2024 FY Revenue Operating Unit 2,2024 FY Revenue Operating Unit 3,2024 FY Revenue Operating Unit 4,2024 FY Revenue Operating Unit 5,2024 FY Revenue Operating Unit 6,2024 FY Revenue Operating Unit 7,2024 FY Revenue Operating Unit 8,2024 FY Revenue Operating Unit 9,2024 FY Revenue Operating Unit 10,Notes
American Express,Yes,Public,American Express,,4962,Consumer Finance,Financials,,,"USD $66,000m",USD,66000,1,66000,77300,77300,U.S. Consumer Services,Commercial Services,International Card Services,Global Merchant & Network Services,Corporate & Other,,,,,,,,,,,,,,,,,nanEmployee count is an estimate pending confirmation.
BNP Paribas,Yes,Public,BNP Paribas,,872786,Diversified Banks,Financials,"EUR 48,831m (revenues)",,"EUR €48,831m",EUR,48831,1.08,52737.5,177952,177952,CIB (Corporate & Institutional Banking),"CPBS (Commercial, Personal Banking & Services)",IPS (Investment & Protection Services),,,,,,,,,,,,,,,,,,,Revenue shown with currency per source; not converted.
CitiGroup,Yes,Public,Citigroup,,831001,Diversified Banks,Financials,,,"USD $81,139m",USD,81139,1,81139,239000,239000,Institutional Clients Group (ICG),Personal Banking & Wealth Mgmt (PBWM),Corporate/Other,,,,,,,,,,,,,,,,,,,nanEmployee count is an estimate pending confirmation.
Credit Agricole,Yes,Private (cooperative group / listed sub),Cr√©dit Agricole,,1444002,Diversified Banks,Financials,"EUR 37,967m (underlying revenues)",,41080,,,,,80500,80500,Regional Banks,LCL,CA Consumer Finance,CACEIS (Asset Servicing),Amundi (Asset Mgmt),Cr√©dit Agricole Assurances,Cr√©dit Agricole CIB,Leasing & Factoring,,,,,,,,,,,,,,Revenue shown with currency per source; not converted.; Employee count is an estimate pending confirmation.
Desjardins,Yes,Private (cooperative),Desjardins,,N/A (non-registrant),Cooperative Banking,Financials,,,N/A (cooperative total income not comparable),,,,,58000,58000,Personal Services,Business Services,Wealth Mgmt & Life/Health Insurance,Property & Casualty Insurance,Other,,,,,,,,,,,,,,,,,nanEmployee count is an estimate pending confirmation.
Deutsche Bank,Yes,Public,Deutsche Bank,,1159508,Investment Banking & Brokerage,Financials,,,"EUR €30,100m",EUR,30100,1.08,32508,91500,91500,Corporate Bank,Investment Bank,Private Bank,Asset Management (DWS),Capital Release Unit,,,,,,,,,,,,,,,,,nanEmployee count is an estimate pending confirmation.
DTCC (The Depository Trust & Clearing Corporation,Yes,Private (industry utility),DTCC (The Depository Trust & Clearing Corporation,,N/A (non-registrant),Market Infrastructure & Clearing,Financials,"USD 2,486m (total revenues)",,"USD $2,486m",USD,2486,1,2486,6700,6700,Clearing Services,Settlement & Asset Services,Matching Services,Repository & Derivatives Services,Wealth Management Services,Data & Other Services,,,,,,,,,,,,,,,,Revenue shown with currency per source; not converted.; DTCC employee count is an estimate pending confirmation.
HSBC,Yes,Public,HSBC,,1089113,Diversified Banks,Financials,"USD 65,854m (reported revenue)",,"USD $65,854m",USD,65854,1,65854,211304,211304,Wealth & Personal Banking,Commercial Banking,Global Banking & Markets,Corporate Centre,,,,,,,,,,,,,,,,,,Revenue shown with currency per source; not converted.
Lloyds,Yes,Public,Lloyds,,1160106,Diversified Banks,Financials,,,"GBP £17,071m",GBP,17071,1.27,21680.2,58000,58000,Retail,Commercial Banking,"Insurance, Pensions & Investments",Group Centre,,,,,,,,,,,,,,,,,,nanEmployee count is an estimate pending confirmation.
Mastercard,Yes,Public,Mastercard,,1141391,Transaction Processing,Financials,,,"USD $28,167m",USD,28167,1,28167,35400,35400,Payment Network (Domestic Assessments),Cross-border,Transaction Processing,Other Revenues,,,,,,,,,,,,,,,,,,nanEmployee count is an estimate pending confirmation.
